prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
3584,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,1,62 Sq. Yd.,For Sale,7/18/2023,PKR53.2 Lakh
3585,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,7/18/2023,PKR1.35 Crore
3586,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR2.35 Crore
3587,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,7/4/2023,PKR1.4 Crore
3588,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,7/4/2023,PKR4.2 Crore
3589,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,179 Sq. Yd.,For Sale,7/18/2023,PKR1.05 Crore
3590,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,102 Sq. Yd.,For Sale,7/18/2023,PKR38.5 Lakh
3591,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,53 Sq. Yd.,For Sale,7/18/2023,PKR28.5 Lakh
3592,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,84 Sq. Yd.,For Sale,7/18/2023,PKR56.5 Lakh
3593,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,53 Sq. Yd.,For Sale,7/18/2023,PKR32.5 Lakh
3594,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,102 Sq. Yd.,For Sale,7/18/2023,PKR38 Lakh
3595,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,102 Sq. Yd.,For Sale,7/18/2023,PKR41.5 Lakh
3596,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,-,53 Sq. Yd.,For Sale,7/18/2023,PKR32.5 Lakh
3597,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,179 Sq. Yd.,For Sale,7/18/2023,PKR1.07 Crore
